City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
99,Upington,-28.4478,21.2561,43.18,65,0,2.3,ZA,clear sky,2022-07-31 02:34:13
100,Carnarvon,-24.8667,113.6333,64.78,45,5,16.26,AU,clear sky,2022-07-31 02:29:23
101,Wagar,16.1525,36.2032,80.47,66,6,19.01,SD,clear sky,2022-07-31 02:34:14
102,Tias,28.9611,-13.645,69.48,83,0,11.5,ES,clear sky,2022-07-31 02:34:14
103,Souillac,-20.5167,57.5167,68.38,73,40,17.27,MU,light rain,2022-07-31 02:34:15
104,Namatanai,-3.6667,152.4333,82.27,75,89,11.34,PG,light rain,2022-07-31 02:34:15
105,San Cristobal,7.7669,-72.225,73.58,96,34,3.2,VE,scattered clouds,2022-07-31 02:26:11
106,Taksimo,56.3444,114.8794,70.45,70,80,1.68,RU,light rain,2022-07-31 02:33:11
107,Road Town,18.4167,-64.6167,82.49,89,20,14.97,VG,few clouds,2022-07-31 02:34:16
108,Ornskoldsvik,63.2909,18.7153,45.55,100,60,2.3,SE,broken clouds,2022-07-31 02:34:17
109,Daru,-9.0763,143.2092,78.13,89,72,17.29,PG,broken clouds,2022-07-31 02:34:17
110,Kununurra,-15.7667,128.7333,84.18,20,21,6.91,AU,few clouds,2022-07-31 02:34:18
111,Dikson,73.5069,80.5464,41.14,94,94,11.1,RU,overcast clouds,2022-07-31 02:34:18
112,Poronaysk,49.2167,143.1167,60.01,87,100,12.15,RU,overcast clouds,2022-07-31 02:34:18
113,Dingle,10.9995,122.6711,83.41,79,100,7.2,PH,overcast clouds,2022-07-31 02:26:47
114,Port Alfred,-33.5906,26.891,49.17,78,5,4.0,ZA,clear sky,2022-07-31 02:34:19
115,Sioux Lookout,50.1001,-91.917,73.47,64,75,2.3,CA,broken clouds,2022-07-31 02:34:20
116,Hilo,19.7297,-155.09,85.28,78,100,10.36,US,overcast clouds,2022-07-31 02:32:41
117,Shimoda,34.6667,138.95,93.11,70,0,14.03,JP,clear sky,2022-07-31 02:34:21
118,Ouro Preto Do Oeste,-10.7481,-62.2158,74.1,40,0,0.78,BR,clear sky,2022-07-31 02:34:21
119,Yellowknife,62.456,-114.3525,57.72,72,75,4.61,CA,broken clouds,2022-07-31 02:34:22
120,Cape Town,-33.9258,18.4232,47.12,92,40,2.3,ZA,scattered clouds,2022-07-31 02:31:17
121,Torbay,47.6666,-52.7314,66.58,91,100,20.71,CA,light intensity shower rain,2022-07-31 02:25:22
122,Saint George,37.1041,-113.5841,88.65,38,45,5.21,US,scattered clouds,2022-07-31 02:34:03
123,Shingu,33.7333,135.9833,87.75,62,23,7.81,JP,few clouds,2022-07-31 02:34:22
124,Hovd,48.0056,91.6419,75.07,30,98,3.33,MN,overcast clouds,2022-07-31 02:34:23
125,Ambulu,-8.345,113.6058,82.49,61,100,7.2,ID,overcast clouds,2022-07-31 02:34:23
126,Saint-Philippe,-21.3585,55.7679,65.21,76,41,15.73,RE,scattered clouds,2022-07-31 02:32:09
127,Port-Cartier,50.0334,-66.8654,67.68,74,100,8.32,CA,overcast clouds,2022-07-31 02:34:24
128,San Patricio,28.017,-97.5169,86.09,71,61,13.04,US,broken clouds,2022-07-31 02:34:25
129,Zhigansk,66.7697,123.3711,73.02,64,82,15.88,RU,light rain,2022-07-31 02:30:48
130,Haines Junction,60.7522,-137.5108,64.35,48,62,12.66,CA,broken clouds,2022-07-31 02:34:25
131,Broome,42.2506,-75.833,63.99,89,0,1.03,US,clear sky,2022-07-31 02:34:26
132,Pokhvistnevo,53.6524,52.1274,67.37,65,54,3.18,RU,broken clouds,2022-07-31 02:34:26
133,Kyren,51.6828,102.1408,70.79,52,32,0.54,RU,scattered clouds,2022-07-31 02:29:32
134,Sisimiut,66.9395,-53.6735,46.54,80,73,1.41,GL,broken clouds,2022-07-31 02:34:27
135,Kabanjahe,3.1001,98.4908,75.13,60,88,3.56,ID,overcast clouds,2022-07-31 02:34:27
136,Prenzlau,53.3167,13.8667,57.7,79,0,2.8,DE,clear sky,2022-07-31 02:34:28
137,Bathsheba,13.2167,-59.5167,83.01,94,40,20.71,BB,scattered clouds,2022-07-31 02:34:28
138,Barrow,71.2906,-156.7887,35.62,87,100,8.05,US,overcast clouds,2022-07-31 02:33:00
139,Ushtobe,45.2514,77.9838,80.28,30,18,14.47,KZ,few clouds,2022-07-31 02:35:29
140,Ocampo,21.65,-101.5,56.89,68,71,14.9,MX,broken clouds,2022-07-31 02:35:29
141,Avarua,-21.2078,-159.775,78.85,69,75,20.71,CK,broken clouds,2022-07-31 02:34:34
142,Marihatag,8.7936,126.2969,82.6,72,100,6.64,PH,overcast clouds,2022-07-31 02:35:30
143,Norman Wells,65.282,-126.8329,66.24,48,40,9.22,CA,scattered clouds,2022-07-31 02:35:30
