City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
117,Shimoda,JP,93.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
122,Saint George,US,88.65,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
123,Shingu,JP,87.75,few clouds,33.7333,135.9833,Shingu UI Hotel
124,Hovd,MN,75.07,overcast clouds,48.0056,91.6419,Hotel Khovd
125,Ambulu,ID,82.49,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
128,San Patricio,US,86.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
135,Kabanjahe,ID,75.13,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
137,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,Ushtobe,KZ,80.28,few clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
141,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
142,Marihatag,PH,82.6,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
145,Lompoc,US,80.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
155,Taoudenni,ML,92.28,overcast clouds,22.6783,-3.9836,
156,Guira De Melena,CU,77.61,broken clouds,22.7906,-82.5053,Cuarto (BELTRAN)
160,Shihezi,CN,83.64,scattered clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
162,Matay,EG,77.68,clear sky,28.419,30.7792,Nag Aespen
163,El Carrizo,MX,80.47,few clouds,24.0261,-106.8814,
166,Naze,JP,85.12,light rain,28.3667,129.4833,Shishime Hotel
167,Tokur,RU,76.17,light rain,53.1333,132.9,
172,Nizhniy Tsasuchey,RU,77.11,clear sky,50.5167,115.1333,
173,Beyneu,KZ,83.57,scattered clouds,45.3167,55.2,NUR
175,Contai,IN,88.02,overcast clouds,21.7786,87.7536,PATHFINDER
177,Celestun,MX,76.87,broken clouds,20.8667,-90.4,Posada Lilia
178,Tooele,US,90.25,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
179,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
180,Adrar,MR,88.59,clear sky,20.5022,-10.0711,
181,Umm Kaddadah,SD,83.05,broken clouds,13.6017,26.6876,
185,Hailey,US,82.89,clear sky,43.5196,-114.3153,Wood River Inn & Suites
191,Banjar,ID,83.34,overcast clouds,-8.19,114.9675,The Hamsa Resort
192,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
194,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
197,Bintulu,MY,82.81,scattered clouds,3.1667,113.0333,900 Boutique INN
199,Karratha,AU,79.83,clear sky,-20.7377,116.8463,ibis Styles Karratha
203,Dori,BF,84.22,light rain,14.0354,-0.0345,Hôtel Liptako
211,Jasper,US,75.25,scattered clouds,37.2001,-94.3502,Guest House Motel
213,Arlit,NE,92.07,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
214,Tessalit,ML,84.79,broken clouds,20.1986,1.0114,
215,Hit,IQ,92.14,scattered clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
217,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
222,Hun,LY,77.99,clear sky,29.1268,15.9477,Alrwasi Hotel
226,Chifeng,CN,85.23,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
227,Maningrida,AU,85.23,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
235,Barcelona,ES,79.32,clear sky,41.3888,2.159,Axel Hotel Barcelona
236,Cabo San Lucas,MX,87.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
239,Namtsy,RU,86.04,few clouds,62.7161,129.6658,"""Эңсиэли Киин"""
241,Aguadilla,PR,82.65,few clouds,18.4275,-67.1541,WSSM Surf House
242,Victoria,HK,92.03,few clouds,22.2855,114.1577,Mini Central
246,Sao Filipe,CV,77.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
